created_at,updated_at,user_id,badge_id
2018-02-19 07:51:32,2018-02-19 07:51:32,13991889,341282-marathoner-3-within-24-bd
2020-03-02 19:05:40,2020-03-02 19:05:40,13991889,341663-marathoner-3-within-24-bd
2018-07-08 03:03:18,2018-07-08 03:03:18,13991889,341704-marathoner-3-within-24-bd
2020-08-17 16:22:36,2020-08-17 16:22:36,13991889,341704-serial-actor-voter-3-bd
2020-08-17 16:22:36,2020-08-17 16:22:36,13991889,341704-serial-actor-voter-5-bd
2024-01-08 05:09:22,2024-01-08 05:09:22,13991889,347734-marathoner-3-within-24-bd
2018-10-28 19:37:07,2018-10-28 19:37:07,13991889,347734-quick-watcher-3-bd
2018-12-24 02:59:30,2018-12-24 02:59:30,13991889,347734-quick-watcher-5-bd
2021-04-18 06:23:38,2021-04-18 06:23:38,13991889,348545-marathoner-3-within-24-bd
2022-01-21 17:25:00,2022-01-21 17:25:00,13991889,348545-quick-watcher-3-bd
2018-09-27 16:07:56,2018-09-27 16:07:56,13991889,348922-serial-actor-voter-10-bd
2018-09-14 20:00:41,2018-09-14 20:00:41,13991889,348922-serial-actor-voter-3-bd
2018-09-18 21:41:39,2018-09-18 21:41:39,13991889,348922-serial-actor-voter-5-bd
2018-09-27 16:07:55,2018-09-27 16:07:55,13991889,348922-serial-emotioner-10-bd
2018-09-14 20:00:34,2018-09-14 20:00:34,13991889,348922-serial-emotioner-3-bd
2018-09-18 21:41:38,2018-09-18 21:41:38,13991889,348922-serial-emotioner-5-bd
2019-07-24 06:05:44,2019-07-24 06:05:44,13991889,353232-marathoner-3-within-24-bd
2019-02-16 07:34:36,2019-02-16 07:34:36,13991889,353764-marathoner-3-within-24-bd
2019-02-16 07:34:36,2019-02-16 07:34:36,13991889,353764-quick-watcher-3-bd
2020-07-31 18:58:39,2020-07-31 18:58:39,13991889,353764-quick-watcher-5-bd
2023-11-19 00:58:48,2023-11-19 00:58:48,13991889,355774-marathoner-3-within-24-bd
2023-04-21 23:19:36,2023-04-21 23:19:36,13991889,355774-quick-watcher-3-bd
2019-01-16 05:07:13,2019-01-16 05:07:13,13991889,356317-marathoner-3-within-24-bd
2020-01-19 02:47:12,2020-01-19 02:47:12,13991889,356317-quick-watcher-3-bd
2020-01-19 05:01:17,2020-01-19 05:01:17,13991889,356317-quick-watcher-5-bd
2019-02-12 00:08:03,2019-02-12 00:08:03,13991889,356640-marathoner-3-within-24-bd
2019-10-30 19:41:33,2019-10-30 19:41:33,13991889,360927-serial-actor-voter-3-bd
2019-10-30 19:41:33,2019-10-30 19:41:33,13991889,360927-serial-actor-voter-5-bd
2020-07-22 05:39:45,2020-07-22 05:39:45,13991889,361034-marathoner-3-within-24-bd
2020-07-22 05:39:45,2020-07-22 05:39:45,13991889,361034-quick-watcher-3-bd
