ad_id,id_type,created_at,updated_at,user_id
c919c7ca-2b97-4910-9a07-1174d7462d82,GG_PLAY_AD_ID,2019-10-18 04:14:49,2019-10-18 04:14:49,13991889
cbaa4a6c-1437-401e-aa33-f36f3e0f7275,GG_PLAY_AD_ID,2023-06-14 00:41:43,2023-06-14 00:41:43,13991889
cbe04cd4-02ab-421f-8427-19047afa7409,GG_PLAY_AD_ID,2025-11-19 02:27:35,2025-11-19 02:27:35,13991889
ce3a3bd3-2311-4f00-bb31-c5f43eb1f03c,GG_PLAY_AD_ID,2019-11-12 01:26:32,2019-11-12 01:26:32,13991889
cfba96ea-f169-4f4f-989b-baaaa59e0b99,GG_PLAY_AD_ID,2024-02-07 02:26:00,2024-02-07 02:26:00,13991889
d0d3ff06-cc1d-4d09-86c9-3d368f4d8315,GG_PLAY_AD_ID,2019-05-02 14:34:04,2019-05-02 14:34:04,13991889
d2b4d19b-3c15-45e0-95be-974997672752,GG_PLAY_AD_ID,2019-12-10 04:21:35,2019-12-10 04:21:35,13991889
dc6d209e-f404-4c9e-85c9-d295b3d9286d,GG_PLAY_AD_ID,2018-08-07 05:31:46,2018-08-07 05:31:46,13991889
df5856ce-5924-4bf4-8784-317b2703c403,GG_PLAY_AD_ID,2019-12-01 02:29:58,2019-12-01 02:29:58,13991889
e9bd3385-2527-4441-bbce-3d37a0bd9a74,GG_PLAY_AD_ID,2019-07-27 06:25:49,2019-07-27 06:25:49,13991889
e9c64d26-54de-440e-b553-812d55e7a89a,GG_PLAY_AD_ID,2019-09-18 04:16:45,2019-09-18 04:16:45,13991889
ec9c5026-32c1-44d7-8383-09b96c619323,GG_PLAY_AD_ID,2018-10-26 02:26:35,2018-10-26 02:26:35,13991889
ee6c5034-3917-4a58-a0c8-087185f9a51b,GG_PLAY_AD_ID,2019-03-15 13:28:28,2019-03-15 13:28:28,13991889
ef987712-08a6-4914-a334-e7f597abbe2d,GG_PLAY_AD_ID,2018-06-29 21:43:27,2018-06-29 21:43:27,13991889
f0428f4a-9395-43e9-a4b1-3845466384b4,GG_PLAY_AD_ID,2019-04-12 13:54:06,2019-04-12 13:54:06,13991889
f19167b1-722f-468f-addb-27959befc350,GG_PLAY_AD_ID,2018-02-03 23:54:14,2018-02-03 23:54:14,13991889
f21d3076-8df6-414c-ae78-777ec809f4e4,GG_PLAY_AD_ID,2022-09-22 04:38:32,2022-09-22 04:38:32,13991889
f4233a1c-9382-4d32-80b7-7c2071cb80c4,GG_PLAY_AD_ID,2019-10-11 15:08:08,2019-10-11 15:08:08,13991889
f4fb35f7-9e72-4609-b3db-190aa2ded042,GG_PLAY_AD_ID,2021-11-21 04:49:09,2021-11-21 04:49:09,13991889
f86e41ad-a2b1-412a-9c19-08405482d920,GG_PLAY_AD_ID,2023-04-29 03:10:38,2023-04-29 03:10:38,13991889
f881e94f-b9e6-463a-9e96-704cbe0e47d3,GG_PLAY_AD_ID,2018-12-18 23:55:03,2018-12-18 23:55:03,13991889
fc831487-69ac-4648-9a39-ff246f4e3e4f,GG_PLAY_AD_ID,2020-01-28 06:09:07,2020-01-28 06:09:07,13991889
