time,user_id,quiz_question_id,quiz_question_answer_id,score,created_at,updated_at
4.91,13991889,4501,17980,0,2018-11-25 19:45:55,2018-11-25 19:45:55
3.16,13991889,4502,17981,346,2018-11-25 19:44:50,2018-11-25 19:44:50
12,13991889,4503,,0,2018-11-25 19:45:42,2018-11-25 19:45:42
3.59,13991889,4524,18072,0,2018-11-25 19:42:50,2018-11-25 19:42:50
9.55,13991889,4525,18075,232,2018-11-25 19:43:23,2018-11-25 19:43:23
1.31,13991889,4526,18079,400,2018-11-25 19:42:15,2018-11-25 19:42:15
1.32,13991889,4527,18082,400,2018-11-25 19:43:49,2018-11-25 19:43:49
5.34,13991889,4528,18085,299,2018-11-25 19:42:29,2018-11-25 19:42:29
7.32,13991889,4529,18090,265,2018-11-25 19:43:05,2018-11-25 19:43:05
4.26,13991889,4530,18093,321,2018-11-25 19:42:08,2018-11-25 19:42:08
3.21,13991889,4531,18099,344,2018-11-25 19:43:31,2018-11-25 19:43:31
2.27,13991889,4532,18101,369,2018-11-25 19:43:40,2018-11-25 19:43:40
2.62,13991889,4533,18105,0,2018-11-25 19:42:38,2018-11-25 19:42:38
