season_number,episode_number,vote_key,episode_id,user_id,series_name
6,4,7172420-13991889-38,7172420,13991889,The 100
2,2,7178663-13991889-25,7178663,13991889,The Rain
6,5,7179417-13991889-24,7179417,13991889,The 100
6,5,7179417-13991889-28,7179417,13991889,The 100
5,3,7185733-13991889-38,7185733,13991889,Black Mirror
5,3,7185733-13991889-21,7185733,13991889,Black Mirror
5,4,7187608-13991889-13,7187608,13991889,iZombie
5,5,7187610-13991889-13,7187610,13991889,iZombie
1,19,7187966-13991889-28,7187966,13991889,Disenchantment
1,19,7187966-13991889-18,7187966,13991889,Disenchantment
5,2,7192545-13991889-25,7192545,13991889,Black Mirror
5,1,7192711-13991889-28,7192711,13991889,Black Mirror
5,1,7192711-13991889-24,7192711,13991889,Black Mirror
1,2,7201770-13991889-18,7201770,13991889,The Rook
1,2,7201770-13991889-28,7201770,13991889,The Rook
1,2,7201770-13991889-38,7201770,13991889,The Rook
1,2,7201770-13991889-14,7201770,13991889,The Rook
1,3,7201771-13991889-14,7201771,13991889,The Rook
1,3,7201771-13991889-28,7201771,13991889,The Rook
1,3,7201771-13991889-18,7201771,13991889,The Rook
1,3,7201771-13991889-38,7201771,13991889,The Rook
1,3,7201771-13991889-13,7201771,13991889,The Rook
1,4,7201772-13991889-28,7201772,13991889,The Rook
1,4,7201772-13991889-38,7201772,13991889,The Rook
1,4,7201772-13991889-18,7201772,13991889,The Rook
1,4,7201772-13991889-13,7201772,13991889,The Rook
1,4,7201772-13991889-14,7201772,13991889,The Rook
6,6,7209811-13991889-15,7209811,13991889,The 100
6,6,7209811-13991889-30,7209811,13991889,The 100
5,6,7213811-13991889-13,7213811,13991889,iZombie
5,7,7213812-13991889-13,7213812,13991889,iZombie
1,5,7214387-13991889-18,7214387,13991889,The Rook
1,5,7214387-13991889-28,7214387,13991889,The Rook
6,7,7218172-13991889-21,7218172,13991889,The 100
6,7,7218172-13991889-38,7218172,13991889,The 100
1,6,7225057-13991889-18,7225057,13991889,The Rook
1,6,7225057-13991889-28,7225057,13991889,The Rook
5,8,7233272-13991889-13,7233272,13991889,iZombie
1,1,7240965-13991889-13,7240965,13991889,Batwoman
1,1,7240965-13991889-28,7240965,13991889,Batwoman
1,1,7240965-13991889-18,7240965,13991889,Batwoman
3,1,7240976-13991889-18,7240976,13991889,Black Lightning
3,1,7240976-13991889-28,7240976,13991889,Black Lightning
5,10,7253908-13991889-18,7253908,13991889,iZombie
5,10,7253908-13991889-28,7253908,13991889,iZombie
5,11,7253909-13991889-18,7253909,13991889,iZombie
5,11,7253909-13991889-28,7253909,13991889,iZombie
1,8,7267919-13991889-13,7267919,13991889,The Rook
1,8,7267919-13991889-28,7267919,13991889,The Rook
1,8,7267919-13991889-18,7267919,13991889,The Rook
1,7,7267920-13991889-13,7267920,13991889,The Rook
5,12,7273123-13991889-13,7273123,13991889,iZombie
5,13,7276490-13991889-30,7276490,13991889,iZombie
5,13,7276490-13991889-15,7276490,13991889,iZombie
1,1,7318462-13991889-28,7318462,13991889,Halo
1,1,7318462-13991889-37,7318462,13991889,Halo
6,1,7325062-13991889-13,7325062,13991889,Silicon Valley
6,1,7325062-13991889-19,7325062,13991889,Silicon Valley
4,1,7337251-13991889-38,7337251,13991889,Mr. Robot
4,1,7337251-13991889-18,7337251,13991889,Mr. Robot
4,1,7337251-13991889-28,7337251,13991889,Mr. Robot
4,1,7337251-13991889-14,7337251,13991889,Mr. Robot
1,2,7337804-13991889-18,7337804,13991889,Batwoman
1,2,7337804-13991889-19,7337804,13991889,Batwoman
1,2,7337804-13991889-28,7337804,13991889,Batwoman
1,2,7337804-13991889-13,7337804,13991889,Batwoman
1,4,7337807-13991889-19,7337807,13991889,Batwoman
6,2,7337996-13991889-15,7337996,13991889,The Flash (2014)
6,2,7337996-13991889-18,7337996,13991889,The Flash (2014)
6,2,7337996-13991889-30,7337996,13991889,The Flash (2014)
