updated_at,tv_show_name,episode_season_number,episode_number,user_id,episode_id,source,created_at
2017-08-12 16:32:41,The Flash (2014),1,13,13991889,5088525,public-api,2017-08-12 16:32:41
2017-10-16 05:25:52,The 100,2,15,13991889,5099179,to-watch,2017-10-16 05:25:52
2017-10-16 06:06:19,The 100,2,16,13991889,5099180,to-watch,2017-10-16 06:06:19
2017-08-12 16:39:26,iZombie,1,12,13991889,5099554,public-api,2017-08-12 16:39:26
2018-02-02 03:56:50,Under the Dome,3,2,13991889,5100989,to-watch,2018-02-02 03:56:50
2017-08-12 16:32:45,The Flash (2014),1,14,13991889,5104336,public-api,2017-08-12 16:32:45
2017-08-12 16:32:58,The Flash (2014),1,15,13991889,5104337,public-api,2017-08-12 16:32:58
2017-08-12 16:33:01,The Flash (2014),1,16,13991889,5104338,public-api,2017-08-12 16:33:01
2017-08-12 16:33:06,The Flash (2014),1,17,13991889,5104339,public-api,2017-08-12 16:33:06
2017-08-12 16:33:06,The Flash (2014),1,18,13991889,5110414,public-api,2017-08-12 16:33:06
2018-08-19 04:13:40,Steven Universe,1,40,13991889,5121577,episode-detail,2018-08-19 04:13:40
2018-08-19 04:57:04,Steven Universe,1,41,13991889,5121578,episode-detail,2018-08-19 04:57:04
2018-08-19 05:08:13,Steven Universe,1,42,13991889,5121579,episode-detail,2018-08-19 05:08:13
2018-08-19 05:20:48,Steven Universe,1,43,13991889,5121580,episode-detail,2018-08-19 05:20:48
2017-08-12 16:39:26,iZombie,1,13,13991889,5123381,public-api,2017-08-12 16:39:26
2018-02-03 05:30:01,Under the Dome,3,3,13991889,5137427,to-watch,2018-02-03 05:30:01
2018-02-03 06:12:00,Under the Dome,3,4,13991889,5137428,to-watch,2018-02-03 06:12:00
2018-02-03 06:12:10,Under the Dome,3,5,13991889,5137429,to-watch,2018-02-03 06:12:10
2018-02-05 19:01:00,Under the Dome,3,6,13991889,5137430,to-watch,2018-02-05 19:01:00
2018-02-06 05:18:12,Under the Dome,3,7,13991889,5137431,to-watch,2018-02-06 05:18:12
2018-02-07 19:17:06,Under the Dome,3,8,13991889,5137432,to-watch,2018-02-07 19:17:06
2018-08-19 05:32:15,Steven Universe,1,44,13991889,5141188,episode-detail,2018-08-19 05:32:15
2018-08-20 06:35:08,Steven Universe,1,45,13991889,5146500,to-watch,2018-08-20 06:35:08
2018-08-23 02:03:57,Steven Universe,1,46,13991889,5152476,to-watch,2018-08-23 02:03:57
2018-08-24 20:05:42,Steven Universe,1,47,13991889,5152477,episode-detail,2018-08-24 20:05:42
2018-08-24 20:33:30,Steven Universe,1,48,13991889,5152478,episode-detail,2018-08-24 20:33:30
2018-08-24 20:33:50,Steven Universe,1,49,13991889,5152479,episode-detail,2018-08-24 20:33:50
2018-08-24 22:06:03,Steven Universe,2,1,13991889,5158287,to-watch,2018-08-24 22:06:03
2017-08-12 16:32:11,The Flash (2014),1,22,13991889,5163053,public-api,2017-08-12 16:32:11
2018-01-10 04:36:14,Between,1,1,13991889,5163410,season-detail,2018-01-10 04:36:14
2017-08-12 16:33:06,The Flash (2014),1,19,13991889,5166508,public-api,2017-08-12 16:33:06
2017-08-12 16:33:06,The Flash (2014),1,20,13991889,5166509,public-api,2017-08-12 16:33:06
2017-08-12 16:33:06,The Flash (2014),1,21,13991889,5166510,public-api,2017-08-12 16:33:06
2017-08-12 16:31:22,The Flash (2014),1,23,13991889,5166511,public-api,2017-08-12 16:31:22
2018-09-08 23:20:52,Steven Universe,2,13,13991889,5211997,episode-detail,2018-09-08 23:20:52
2018-09-08 23:08:55,Steven Universe,2,12,13991889,5211998,to-watch,2018-09-08 23:08:55
2017-07-24 08:28:49,Sense8,1,3,13991889,5219321,episode-detail,2017-07-24 08:28:49
2017-07-24 07:40:24,Sense8,1,2,13991889,5219322,season-detail,2017-07-24 07:40:24
2017-07-24 07:40:18,Sense8,1,1,13991889,5219323,episode-detail,2017-07-24 07:40:18
2017-09-11 04:14:14,Rick and Morty,2,1,13991889,5225680,to-watch,2017-09-11 04:14:14
2017-07-31 04:01:01,Sense8,1,5,13991889,5228260,to-watch,2017-07-31 04:01:01
2017-07-31 04:01:05,Sense8,1,6,13991889,5228261,to-watch,2017-07-31 04:01:05
2017-08-15 05:53:08,Sense8,1,7,13991889,5228262,episode-detail,2017-08-15 05:53:08
2018-01-10 08:16:06,Between,1,2,13991889,5231427,to-watch,2018-01-10 08:16:06
2018-01-10 17:31:35,Between,1,3,13991889,5231428,to-watch,2018-01-10 17:31:35
2018-01-11 04:03:26,Between,1,4,13991889,5231429,to-watch,2018-01-11 04:03:26
2018-01-11 05:29:36,Between,1,5,13991889,5231430,to-watch,2018-01-11 05:29:36
2018-01-11 06:01:10,Between,1,6,13991889,5231431,to-watch,2018-01-11 06:01:10
2018-02-08 03:57:08,Under the Dome,3,10,13991889,5232543,to-watch,2018-02-08 03:57:08
2018-02-12 07:58:34,Dragon Ball Super,1,1,13991889,5238715,to-watch,2018-02-12 07:58:34
2017-08-12 16:41:09,Mr. Robot,1,2,13991889,5240604,public-api,2017-08-12 16:41:09
2017-08-12 16:41:09,Mr. Robot,1,3,13991889,5240605,public-api,2017-08-12 16:41:09
2017-08-12 16:41:09,Mr. Robot,1,4,13991889,5240606,public-api,2017-08-12 16:41:09
2017-08-12 16:41:09,Mr. Robot,1,5,13991889,5240607,public-api,2017-08-12 16:41:09
2017-08-12 16:41:09,Mr. Robot,1,6,13991889,5240610,public-api,2017-08-12 16:41:09
2017-08-12 16:41:09,Mr. Robot,1,7,13991889,5240613,public-api,2017-08-12 16:41:09
2017-08-12 16:41:09,Mr. Robot,1,8,13991889,5240615,public-api,2017-08-12 16:41:09
2017-08-12 16:41:09,Mr. Robot,1,9,13991889,5240616,public-api,2017-08-12 16:41:09
2017-08-12 16:41:10,Mr. Robot,1,10,13991889,5240617,public-api,2017-08-12 16:41:10
2018-09-08 23:54:04,Steven Universe,2,15,13991889,5250644,to-watch,2018-09-08 23:54:04
2017-08-12 16:33:05,The Flash (2014),2,1,13991889,5260562,public-api,2017-08-12 16:33:05
2017-08-12 16:39:24,iZombie,2,1,13991889,5260565,public-api,2017-08-12 16:39:24
2017-09-11 20:59:09,Rick and Morty,2,2,13991889,5265205,to-watch,2017-09-11 20:59:09
2018-02-12 07:58:43,Dragon Ball Super,1,2,13991889,5268569,to-watch,2018-02-12 07:58:43
2018-02-02 01:05:47,Under the Dome,3,1,13991889,5268612,to-watch,2018-02-02 01:05:47
2018-02-07 19:17:11,Under the Dome,3,9,13991889,5268863,to-watch,2018-02-07 19:17:11
2018-02-09 06:07:54,Under the Dome,3,11,13991889,5268864,to-watch,2018-02-09 06:07:54
2018-02-09 08:41:03,Under the Dome,3,12,13991889,5268866,to-watch,2018-02-09 08:41:03
2018-02-10 05:55:36,Under the Dome,3,13,13991889,5268867,to-watch,2018-02-10 05:55:36
2018-02-14 17:14:49,Dragon Ball Super,1,3,13991889,5271551,to-watch,2018-02-14 17:14:49
2018-02-14 17:14:52,Dragon Ball Super,1,4,13991889,5271559,to-watch,2018-02-14 17:14:52
2018-02-14 17:14:55,Dragon Ball Super,1,5,13991889,5271567,to-watch,2018-02-14 17:14:55
2018-02-14 17:14:58,Dragon Ball Super,1,6,13991889,5271575,to-watch,2018-02-14 17:14:58
2018-09-20 16:00:14,Steven Universe,2,18,13991889,5276631,episode-detail,2018-09-20 16:00:14
2018-09-20 16:19:41,Steven Universe,2,19,13991889,5276632,to-watch,2018-09-20 16:19:41
2018-09-20 18:50:27,Steven Universe,2,21,13991889,5276633,to-watch,2018-09-20 18:50:27
2018-09-20 19:02:04,Steven Universe,2,22,13991889,5276634,to-watch,2018-09-20 19:02:04
2017-08-12 16:33:05,The Flash (2014),2,2,13991889,5280328,public-api,2017-08-12 16:33:05
2017-08-12 16:33:05,The Flash (2014),2,3,13991889,5280329,public-api,2017-08-12 16:33:05
2017-11-18 18:56:37,The 100,3,1,13991889,5281340,to-watch,2017-11-18 18:56:37
2017-11-18 18:56:41,The 100,3,2,13991889,5281341,to-watch,2017-11-18 18:56:41
2018-02-14 17:15:00,Dragon Ball Super,1,7,13991889,5287939,to-watch,2018-02-14 17:15:00
2018-02-14 17:15:02,Dragon Ball Super,1,8,13991889,5287940,to-watch,2018-02-14 17:15:02
2018-02-14 17:15:04,Dragon Ball Super,1,9,13991889,5287941,to-watch,2018-02-14 17:15:04
2018-02-14 17:15:09,Dragon Ball Super,1,10,13991889,5287942,to-watch,2018-02-14 17:15:09
2018-02-14 19:17:57,Dragon Ball Super,1,12,13991889,5287944,to-watch,2018-02-14 19:17:57
2018-02-14 19:18:00,Dragon Ball Super,1,13,13991889,5287945,to-watch,2018-02-14 19:18:00
2017-09-11 20:59:12,Rick and Morty,2,3,13991889,5290447,to-watch,2017-09-11 20:59:12
