episode_number,user_id,episode_id,watched_on_source_id,created_at,updated_at,tv_show_name,episode_season_number
32,13991889,5032896,1,2018-08-19 01:16:53,2018-08-19 01:16:53,Steven Universe,1
33,13991889,5040748,1,2018-08-19 01:17:08,2018-08-19 01:17:08,Steven Universe,1
34,13991889,5040749,1,2018-08-19 01:17:26,2018-08-19 01:17:26,Steven Universe,1
35,13991889,5055362,1,2018-08-19 01:17:40,2018-08-19 01:17:40,Steven Universe,1
37,13991889,5078573,4,2018-08-19 02:54:47,2018-08-19 02:54:47,Steven Universe,1
38,13991889,5078574,4,2018-08-19 03:15:39,2018-08-19 03:15:39,Steven Universe,1
39,13991889,5078575,4,2018-08-19 03:31:21,2018-08-19 03:31:21,Steven Universe,1
40,13991889,5121577,4,2018-08-19 04:13:46,2018-08-19 04:13:46,Steven Universe,1
41,13991889,5121578,4,2018-08-19 04:57:09,2018-08-19 04:57:09,Steven Universe,1
42,13991889,5121579,4,2018-08-19 05:08:17,2018-08-19 05:08:17,Steven Universe,1
43,13991889,5121580,4,2018-08-19 05:20:54,2018-08-19 05:20:54,Steven Universe,1
44,13991889,5141188,4,2018-08-19 05:32:23,2018-08-19 05:32:23,Steven Universe,1
45,13991889,5146500,1,2018-08-20 06:35:16,2018-08-20 06:35:16,Steven Universe,1
46,13991889,5152476,1,2018-08-23 02:04:06,2018-08-23 02:04:06,Steven Universe,1
47,13991889,5152477,1,2018-08-24 20:05:45,2018-08-24 20:05:45,Steven Universe,1
48,13991889,5152478,4,2018-08-24 20:33:34,2018-08-24 20:33:34,Steven Universe,1
49,13991889,5152479,4,2018-08-24 20:37:00,2018-08-24 20:37:00,Steven Universe,1
1,13991889,5158287,4,2018-08-24 22:06:07,2018-08-24 22:06:07,Steven Universe,2
5,13991889,5158298,4,2018-09-04 19:30:40,2018-09-04 19:30:40,Steven Universe,2
6,13991889,5173456,4,2018-09-04 19:30:52,2018-09-04 19:30:52,Steven Universe,2
13,13991889,5211997,4,2018-09-08 23:20:55,2018-09-08 23:20:55,Steven Universe,2
12,13991889,5211998,4,2018-09-08 23:09:02,2018-09-08 23:09:02,Steven Universe,2
15,13991889,5250644,4,2018-09-08 23:54:14,2018-09-08 23:54:14,Steven Universe,2
