user_id,episode_id,uuid,vote_key,series_name,season_number,episode_number
13991889,7550553,a69ad6a0-d99c-49dd-9949-81a58715025a,7550553-13991889-19,I Am Not Okay With This,1,2
13991889,7550553,a69ad6a0-d99c-49dd-9949-81a58715025a,7550553-13991889-28,I Am Not Okay With This,1,2
13991889,7550560,1fb39c97-21c1-41ce-b008-ce9d3a80b1c3,7550560-13991889-19,I Am Not Okay With This,1,6
13991889,7550560,1fb39c97-21c1-41ce-b008-ce9d3a80b1c3,7550560-13991889-28,I Am Not Okay With This,1,6
13991889,7550560,1fb39c97-21c1-41ce-b008-ce9d3a80b1c3,7550560-13991889-18,I Am Not Okay With This,1,6
13991889,7550563,c49bf784-96cf-4227-a7b7-8a7bc4b0fe2c,7550563-13991889-18,I Am Not Okay With This,1,7
13991889,7560337,3c06f190-6e3b-4e50-84b6-8314d5b1303f,7560337-13991889-19,Batwoman,1,12
13991889,7560337,3c06f190-6e3b-4e50-84b6-8314d5b1303f,7560337-13991889-29,Batwoman,1,12
13991889,7560337,3c06f190-6e3b-4e50-84b6-8314d5b1303f,7560337-13991889-27,Batwoman,1,12
13991889,7564224,bfa09479-17b0-4717-96aa-463043d0aba3,7564224-13991889-28,Young Sheldon,3,16
13991889,7693422,731e43c9-a233-4492-a793-8371ff31abec,7693422-13991889-29,Stargirl,1,10
13991889,7693422,731e43c9-a233-4492-a793-8371ff31abec,7693422-13991889-15,Stargirl,1,10
13991889,7693422,731e43c9-a233-4492-a793-8371ff31abec,7693422-13991889-30,Stargirl,1,10
13991889,7693422,731e43c9-a233-4492-a793-8371ff31abec,7693422-13991889-28,Stargirl,1,10
13991889,7798148,e4137c28-2f90-4d4d-89ef-0e99bf8245b5,7798148-13991889-27,The Rain,3,2
13991889,7798151,77eef80f-4b00-459a-a3ff-840838ee0bfc,7798151-13991889-28,The Rain,3,4
13991889,7798151,77eef80f-4b00-459a-a3ff-840838ee0bfc,7798151-13991889-18,The Rain,3,4
13991889,7798153,da8a11c2-7285-455b-82ad-ae08ab5e9570,7798153-13991889-28,The Rain,3,5
