timezone,updated_at,user_id,zip_code,latitude,city_name,created_at,ip_address,longitude,hits,country_code,country_name,region_name
,2024-08-22 21:26:26,13991889,,,,2024-08-22 21:26:26,181.238.33.230,,1,,,
,2025-10-09 01:34:46,13991889,,,,2025-10-09 01:34:46,181.238.35.27,,1,,,
,2026-03-06 17:01:54,13991889,,,,2026-03-06 16:58:46,181.238.48.130,,2,,,
,2026-06-10 12:11:18,13991889,,,,2026-06-10 12:11:18,181.238.65.66,,2,,,
,2026-06-22 18:19:23,13991889,,,,2026-06-22 18:19:23,181.238.68.78,,1,,,
,2026-06-08 04:00:25,13991889,,,,2026-06-08 04:00:25,181.238.75.36,,1,,,
,2024-10-12 02:07:29,13991889,,,,2024-10-12 02:07:29,181.238.76.120,,1,,,
,2024-11-21 03:45:33,13991889,,,,2024-11-21 03:45:33,181.238.8.20,,1,,,
,2025-09-16 16:06:31,13991889,,,,2025-09-16 16:06:31,181.239.1.152,,1,,,
,2026-06-05 13:12:56,13991889,,,,2026-06-05 13:12:56,181.239.124.153,,1,,,
,2026-02-26 21:51:19,13991889,,,,2026-02-26 21:51:19,181.239.157.208,,1,,,
,2026-06-01 01:55:49,13991889,,,,2026-06-01 01:55:49,181.239.161.118,,1,,,
,2024-07-15 23:02:32,13991889,,,,2024-07-15 23:02:32,181.239.175.188,,1,,,
,2023-12-10 22:49:35,13991889,,,,2023-12-10 22:49:35,181.239.19.66,,1,,,
,2024-07-18 21:15:51,13991889,,,,2024-07-18 21:15:51,181.239.2.33,,1,,,
,2024-10-14 11:54:10,13991889,,,,2024-10-14 11:54:10,181.239.201.215,,1,,,
,2024-06-25 03:35:14,13991889,,,,2024-06-25 03:35:14,181.239.22.223,,1,,,
,2025-07-24 17:21:29,13991889,,,,2025-07-24 17:21:29,181.239.23.28,,1,,,
,2024-06-30 19:18:15,13991889,,,,2024-06-30 19:18:15,181.239.45.125,,1,,,
,2024-11-19 17:10:06,13991889,,,,2024-11-19 17:10:06,181.239.7.171,,1,,,
-03:00,2019-02-12 18:16:41,13991889,5000,-31.40,Córdoba,2019-01-14 21:54:40,181.28.4.150,-64.18,57,AR,Argentina,Cordoba
-03:00,2018-05-14 19:08:45,13991889,5000,-31.43,Córdoba,2018-04-13 18:44:48,181.29.171.178,-64.17,80,AR,Argentina,Cordoba
-03:00,2017-11-13 19:40:12,13991889,5000,-31.43,Córdoba,2017-10-14 17:09:04,181.29.174.105,-64.17,42,AR,Argentina,Cordoba
-03:00,2019-05-26 18:36:46,13991889,5000,-31.40,Córdoba,2019-02-02 02:36:52,181.29.177.113,-64.18,15,AR,Argentina,Cordoba
-03:00,2019-01-11 18:46:35,13991889,5000,-31.40,Córdoba,2018-12-13 18:05:53,181.29.179.146,-64.18,50,AR,Argentina,Cordoba
,2017-10-13 00:24:42,13991889,,,,2017-10-04 17:31:01,181.29.179.52,,10,,,
-03:00,2017-09-30 04:19:07,13991889,5012,-31.41,Cordoba,2017-08-15 02:10:29,181.29.179.74,-64.18,42,AR,Argentina,Cordoba
-03:00,2018-03-13 23:02:13,13991889,5000,-31.43,Córdoba,2017-12-19 02:28:00,181.29.180.174,-64.17,251,AR,Argentina,Cordoba
,2018-10-20 01:28:52,13991889,,,,2018-08-19 00:00:17,181.30.113.210,,2,,,
,2019-09-09 01:59:33,13991889,,,,2019-09-09 01:59:33,181.30.113.211,,1,,,
,2018-08-10 20:32:45,13991889,,,,2018-08-10 20:32:45,181.30.36.9,,1,,,
,2018-02-25 02:25:27,13991889,,,,2018-02-25 02:25:27,181.31.102.120,,1,,,
-03:00,2017-12-30 08:17:06,13991889,5000,-31.43,Córdoba,2017-12-30 03:49:15,181.31.244.117,-64.17,7,AR,Argentina,Cordoba
-03:00,2019-01-20 14:36:12,13991889,5000,-31.40,Córdoba,2019-01-10 06:47:24,181.31.252.184,-64.18,5,AR,Argentina,Cordoba
,2018-10-27 23:51:06,13991889,,,,2018-08-11 01:42:02,181.31.252.72,,3,,,
-03:00,2017-12-03 15:13:47,13991889,5012,-31.41,Cordoba,2017-08-12 23:07:46,181.31.253.8,-64.18,7,AR,Argentina,Cordoba
,2017-07-18 22:43:17,13991889,,,,2017-07-18 22:43:17,181.31.87.83,,1,,,
,2019-08-24 04:04:12,13991889,,,,2019-08-24 04:04:12,181.31.92.19,,1,,,
,2024-06-30 05:55:30,13991889,,,,2024-05-11 14:58:54,181.4.20.72,,2,,,
,2018-12-12 00:45:34,13991889,,,,2018-12-12 00:45:34,181.91.63.5,,1,,,
,2019-01-24 06:28:20,13991889,,,,2019-01-24 06:28:20,181.92.201.88,,1,,,
,2017-09-25 19:36:10,13991889,,,,2017-09-25 19:36:10,181.95.36.237,,1,,,
