name,value,created_at,updated_at,id,device_id
play_services_status,0,2017-10-28 16:20:24,2017-10-28 16:20:24,28043675,30270dfc2e6970dd6b67c47aa1a7b219
sdk,21,2017-10-28 16:20:24,2017-10-28 16:20:24,28043674,30270dfc2e6970dd6b67c47aa1a7b219
to_watch_widgets,0,2017-10-28 16:20:24,2017-10-28 16:20:24,28043678,30270dfc2e6970dd6b67c47aa1a7b219
agenda_widgets,0,2019-10-02 03:03:18,2019-10-02 03:03:18,111499168,36bbcd09ac5e062135d0ed021a398440
build_brand,Xiaomi,2019-10-02 03:03:18,2019-10-02 03:03:18,111499161,36bbcd09ac5e062135d0ed021a398440
build_manufacturer,Xiaomi,2019-10-02 03:03:18,2019-10-02 03:03:18,111499160,36bbcd09ac5e062135d0ed021a398440
build_model,Redmi Note 5,2019-10-02 03:03:18,2019-10-02 03:03:18,111499162,36bbcd09ac5e062135d0ed021a398440
launcher,com.google.android.apps.nexuslauncher,2019-10-02 03:03:18,2019-10-02 03:03:18,111499167,36bbcd09ac5e062135d0ed021a398440
model,Redmi Note 5,2019-10-02 03:03:18,2019-10-02 03:03:18,111499159,36bbcd09ac5e062135d0ed021a398440
os,android,2019-10-02 03:03:18,2019-10-02 03:03:18,111499163,36bbcd09ac5e062135d0ed021a398440
os_version,10,2019-10-02 03:03:18,2019-10-02 03:03:18,111499164,36bbcd09ac5e062135d0ed021a398440
play_services_status,0,2019-10-02 03:03:18,2019-10-02 03:03:18,111499166,36bbcd09ac5e062135d0ed021a398440
sdk,29,2019-10-02 03:03:18,2019-10-02 03:03:18,111499165,36bbcd09ac5e062135d0ed021a398440
to_watch_widgets,0,2019-10-02 03:03:18,2019-10-02 03:03:18,111499169,36bbcd09ac5e062135d0ed021a398440
agenda_widgets,0,2019-05-02 14:24:29,2019-05-02 14:24:29,94502710,493ab5c177d39bdf13d274c1e6d54702
build_brand,xiaomi,2019-05-02 14:24:29,2019-07-27 06:25:48,94502703,493ab5c177d39bdf13d274c1e6d54702
build_manufacturer,Xiaomi,2019-05-02 14:24:29,2019-05-02 14:24:29,94502702,493ab5c177d39bdf13d274c1e6d54702
build_model,Redmi Note 5,2019-05-02 14:24:29,2019-05-02 14:24:29,94502704,493ab5c177d39bdf13d274c1e6d54702
launcher,com.miui.home,2019-05-02 14:24:29,2019-08-09 06:10:23,94502709,493ab5c177d39bdf13d274c1e6d54702
model,Redmi Note 5,2019-05-02 14:24:29,2019-05-02 14:24:29,94502701,493ab5c177d39bdf13d274c1e6d54702
os,android,2019-05-02 14:24:29,2019-05-02 14:24:29,94502705,493ab5c177d39bdf13d274c1e6d54702
os_version,9,2019-05-02 14:24:29,2019-05-02 14:24:29,94502706,493ab5c177d39bdf13d274c1e6d54702
play_services_status,0,2019-05-02 14:24:29,2019-05-02 14:24:29,94502708,493ab5c177d39bdf13d274c1e6d54702
sdk,28,2019-05-02 14:24:29,2019-05-02 14:24:29,94502707,493ab5c177d39bdf13d274c1e6d54702
to_watch_widgets,0,2019-05-02 14:24:29,2019-05-02 14:24:29,94502711,493ab5c177d39bdf13d274c1e6d54702
agenda_widgets,0,2017-10-04 17:30:50,2017-10-04 17:30:50,24626668,4a638965156cfbfe66265f534bc5cda0
build_brand,samsung,2017-10-04 17:30:50,2017-10-04 17:30:50,24626661,4a638965156cfbfe66265f534bc5cda0
build_manufacturer,samsung,2017-10-04 17:30:50,2017-10-04 17:30:50,24626660,4a638965156cfbfe66265f534bc5cda0
build_model,GT-I9500,2017-10-04 17:30:50,2017-10-04 17:30:50,24626662,4a638965156cfbfe66265f534bc5cda0
launcher,is.shortcut,2017-10-04 17:30:50,2017-10-09 19:44:11,24626667,4a638965156cfbfe66265f534bc5cda0
model,Galaxy S4,2017-10-04 17:30:50,2017-10-04 17:30:50,24626659,4a638965156cfbfe66265f534bc5cda0
os,android,2017-10-04 17:30:50,2017-10-04 17:30:50,24626663,4a638965156cfbfe66265f534bc5cda0
os_version,7.1.2,2017-10-04 17:30:50,2017-10-04 17:30:50,24626664,4a638965156cfbfe66265f534bc5cda0
play_services_status,0,2017-10-04 17:30:50,2017-10-04 17:30:50,24626666,4a638965156cfbfe66265f534bc5cda0
sdk,25,2017-10-04 17:30:50,2017-10-04 17:30:50,24626665,4a638965156cfbfe66265f534bc5cda0
to_watch_widgets,0,2017-10-04 17:30:50,2017-10-04 17:30:50,24626669,4a638965156cfbfe66265f534bc5cda0
agenda_widgets,0,2022-07-12 03:13:01,2022-07-12 03:13:01,232119698,4e19e9004ac67eb10dc679b7cd5c0171
build_brand,Xiaomi,2022-07-12 03:13:01,2022-07-12 03:13:01,232119691,4e19e9004ac67eb10dc679b7cd5c0171
build_manufacturer,Xiaomi,2022-07-12 03:13:01,2022-07-12 03:13:01,232119690,4e19e9004ac67eb10dc679b7cd5c0171
build_model,Mi A1,2022-07-12 03:13:01,2022-07-12 03:13:01,232119692,4e19e9004ac67eb10dc679b7cd5c0171
launcher,com.google.android.apps.nexuslauncher,2022-07-12 03:13:01,2022-07-12 03:13:01,232119697,4e19e9004ac67eb10dc679b7cd5c0171
model,Mi A1,2022-07-12 03:13:01,2022-07-12 03:13:01,232119689,4e19e9004ac67eb10dc679b7cd5c0171
os,android,2022-07-12 03:13:01,2022-07-12 03:13:01,232119693,4e19e9004ac67eb10dc679b7cd5c0171
os_version,10,2022-07-12 03:13:01,2022-07-12 03:13:01,232119694,4e19e9004ac67eb10dc679b7cd5c0171
play_services_status,0,2022-07-12 03:13:01,2022-07-12 03:13:01,232119696,4e19e9004ac67eb10dc679b7cd5c0171
sdk,29,2022-07-12 03:13:01,2022-07-12 03:13:01,232119695,4e19e9004ac67eb10dc679b7cd5c0171
to_watch_widgets,0,2022-07-12 03:13:01,2022-07-12 03:13:01,232119699,4e19e9004ac67eb10dc679b7cd5c0171
agenda_widgets,0,2017-10-22 01:31:17,2017-10-22 01:31:17,27098354,4fb5689fbb7ad5088e64c5e1692fca36
build_brand,samsung,2017-10-22 01:31:17,2017-10-22 01:31:17,27098347,4fb5689fbb7ad5088e64c5e1692fca36
build_manufacturer,samsung,2017-10-22 01:31:17,2017-10-22 01:31:17,27098346,4fb5689fbb7ad5088e64c5e1692fca36
build_model,GT-I9500,2017-10-22 01:31:17,2017-10-22 01:31:17,27098348,4fb5689fbb7ad5088e64c5e1692fca36
launcher,is.shortcut,2017-10-22 01:31:17,2017-10-22 01:31:17,27098353,4fb5689fbb7ad5088e64c5e1692fca36
model,Galaxy S4,2017-10-22 01:31:17,2017-10-22 01:31:17,27098345,4fb5689fbb7ad5088e64c5e1692fca36
os,android,2017-10-22 01:31:17,2017-10-22 01:31:17,27098349,4fb5689fbb7ad5088e64c5e1692fca36
os_version,5.0.1,2017-10-22 01:31:17,2017-10-22 01:31:17,27098350,4fb5689fbb7ad5088e64c5e1692fca36
play_services_status,0,2017-10-22 01:31:17,2017-10-22 01:31:17,27098352,4fb5689fbb7ad5088e64c5e1692fca36
sdk,21,2017-10-22 01:31:17,2017-10-22 01:31:17,27098351,4fb5689fbb7ad5088e64c5e1692fca36
to_watch_widgets,0,2017-10-22 01:31:17,2017-10-22 01:31:17,27098355,4fb5689fbb7ad5088e64c5e1692fca36
agenda_widgets,0,2022-05-19 00:31:21,2022-05-19 00:31:21,224912581,536ba9240003718d5e0f3982369e9586
build_brand,Xiaomi,2022-05-19 00:31:21,2022-05-19 00:31:21,224912574,536ba9240003718d5e0f3982369e9586
build_manufacturer,Xiaomi,2022-05-19 00:31:21,2022-05-19 00:31:21,224912573,536ba9240003718d5e0f3982369e9586
build_model,Redmi Note 5,2022-05-19 00:31:21,2022-05-19 00:31:21,224912575,536ba9240003718d5e0f3982369e9586
launcher,net.oneplus.launcher,2022-05-19 00:31:21,2022-05-19 00:31:21,224912580,536ba9240003718d5e0f3982369e9586
model,Redmi 5 Plus,2022-05-19 00:31:21,2022-05-19 00:31:21,224912572,536ba9240003718d5e0f3982369e9586
os,android,2022-05-19 00:31:21,2022-05-19 00:31:21,224912576,536ba9240003718d5e0f3982369e9586
