updated_at,series_id,user_id,type,series_name,watch_count,created_at,uuid,type-uuid-n,watches,rewatch_count,follow_date_range_key,entity_type,movie_name,release_date_range_key,release_date,alpha_range_key,runtime,season_number,series_uuid,episode_id,watch_date,episode_number,watched_episode_range_key,total_series_runtime,total_movies_runtime,watch_date_range_key,unitarian,country
2023-06-12 03:09:42,,13991889,follow,,,2023-06-12 03:09:42,b0e8b0e4-e05f-4571-9c9d-bc6731246479,follow-b0e8b0e4-e05f-4571-9c9d-bc6731246479-0,,,follow-follow-date-1686539382,movie,"進撃の巨人 - Wall Sina, Goodbye 後編",follow-release-date-2018-04-09,2018-04-09 00:00:00,"follow-alpha-attack-on-titan-ova-7---lost-girls-wall-sina,-goodbye-(part-2)",1500,,,,,,,,,,,
2019-08-10 06:07:11,,13991889,follow,,,2019-08-10 06:07:11,b1c98d70-3644-472e-b2b4-06712cebbc4e,follow-b1c98d70-3644-472e-b2b4-06712cebbc4e-0,,0,follow-follow-date-1565417231,movie,The Cloverfield Paradox,,,,,,,,,,,,,,,
2019-08-10 05:55:22,,13991889,follow,,,2019-08-10 05:55:22,b1df3260-1c28-4185-ab83-1a0f5aeca011,follow-b1df3260-1c28-4185-ab83-1a0f5aeca011-0,,0,follow-follow-date-1565416522,movie,Cloudy with a Chance of Meatballs,,,,,,,,,,,,,,,
2019-08-10 06:07:42,,13991889,follow,,,2019-08-10 06:07:42,b32c8392-93c0-4306-90c1-0c36f554fdc0,follow-b32c8392-93c0-4306-90c1-0c36f554fdc0-0,,0,follow-follow-date-1565417262,movie,Transformers: Dark of the Moon,,,,,,,,,,,,,,,
2019-08-10 05:52:22,,13991889,follow,,,2019-08-10 05:52:22,b3f57d1d-2a69-440e-8259-c869e072ed0f,follow-b3f57d1d-2a69-440e-8259-c869e072ed0f-0,,0,follow-follow-date-1565416342,movie,X-Men: Days of Future Past,,,,,,,,,,,,,,,
2019-08-10 05:56:17,,13991889,follow,,,2019-08-10 05:56:17,b483f82e-14c7-4f97-86b7-cd957ee89f87,follow-b483f82e-14c7-4f97-86b7-cd957ee89f87-0,,0,follow-follow-date-1565416577,movie,Cars 2,,,,,,,,,,,,,,,
2021-09-05 01:15:32,,13991889,follow,,,2021-09-05 01:15:32,b4d469e5-a1e4-4a62-9958-0e65ff9ca098,follow-b4d469e5-a1e4-4a62-9958-0e65ff9ca098-0,,,follow-follow-date-1630804532,movie,Shiny_Flakes: The Teenage Drug Lord,follow-release-date-2021-08-03,2021-08-03 00:00:00,follow-alpha-shiny_flakes-the-teenage-drug-lord,5820,,,,,,,,,,,
2025-09-21 04:14:31,,13991889,follow,,,2025-09-21 04:14:31,b5db790a-07ab-4dd5-ba5a-0fcf9874c061,follow-b5db790a-07ab-4dd5-ba5a-0fcf9874c061-0,,,follow-follow-date-1758428071,movie,The Amateur,follow-release-date-2025-04-11,2025-04-11 00:00:00,follow-alpha-the-amateur,7380,,,,,,,,,,,
2019-08-08 05:14:04,,13991889,follow,,,2019-08-08 05:14:04,b6480723-c7ce-4cd7-b889-5b21d0dfe741,follow-b6480723-c7ce-4cd7-b889-5b21d0dfe741-0,,0,follow-follow-date-1565241244,movie,The Lord of the Rings: The Two Towers,,,,,,,,,,,,,,,
2020-04-18 03:01:12,,13991889,follow,,,2020-04-18 03:01:12,b658f434-18d7-49d3-bbe6-12c4ae69062a,follow-b658f434-18d7-49d3-bbe6-12c4ae69062a-0,,0,follow-follow-date-1587178872,movie,,,2020-02-12 00:00:00,,,,,,,,,,,,,
2019-08-08 05:10:50,,13991889,follow,,,2019-08-08 05:10:50,b6e6e8d7-15f5-419e-8f5d-8c9d33c8320f,follow-b6e6e8d7-15f5-419e-8f5d-8c9d33c8320f-0,,0,follow-follow-date-1565241050,movie,The Dark Knight,,,,,,,,,,,,,,,
2026-06-20 18:03:09,,13991889,follow,,,2026-06-20 18:03:09,b70165c4-15b2-4a3c-850d-392386a2503e,follow-b70165c4-15b2-4a3c-850d-392386a2503e-0,,,follow-follow-date-1781978589,movie,Culpa nuestra,follow-release-date-2025-10-16,2025-10-16 00:00:00,follow-alpha-our-fault,6720,,,,,,,,,,,
2019-08-10 05:49:17,,13991889,follow,,,2019-08-10 05:49:17,b73936fb-4e59-4e5c-8a2c-abf301376ed8,follow-b73936fb-4e59-4e5c-8a2c-abf301376ed8-0,,0,follow-follow-date-1565416157,movie,How to Train Your Dragon 2,,,,,,,,,,,,,,,
2020-06-22 02:36:11,,13991889,follow,,,2020-06-22 02:36:11,b75843db-daa2-413f-81dd-2b3e2fb9350b,follow-b75843db-daa2-413f-81dd-2b3e2fb9350b-0,,0,follow-follow-date-1592793371,movie,ドラゴンボールZ 龍拳爆発!!悟空がやらねば誰がやる,,1995-07-15 00:00:00,,,,,,,,,,,,,
2019-08-10 05:45:21,,13991889,follow,,,2019-08-10 05:45:21,b76dd8fe-8dfd-4a6a-b296-402dc39f077a,follow-b76dd8fe-8dfd-4a6a-b296-402dc39f077a-0,,0,follow-follow-date-1565415921,movie,Captain America: Civil War,,,,,,,,,,,,,,,
2019-08-10 05:57:25,,13991889,follow,,,2019-08-10 05:57:25,b78de30e-5452-4dff-b770-565304d995c0,follow-b78de30e-5452-4dff-b770-565304d995c0-0,,0,follow-follow-date-1565416645,movie,The Lost World: Jurassic Park,,,,,,,,,,,,,,,
2019-08-10 05:50:48,,13991889,follow,,,2019-08-10 05:50:48,b7b9dc4a-8278-47a7-9201-8588b6877bdc,follow-b7b9dc4a-8278-47a7-9201-8588b6877bdc-0,,0,follow-follow-date-1565416248,movie,Jurassic World,,,,,,,,,,,,,,,
2019-08-10 05:55:47,,13991889,follow,,,2019-08-10 05:55:47,b7c2098d-e182-4ffb-942c-8a81b1c2bf0b,follow-b7c2098d-e182-4ffb-942c-8a81b1c2bf0b-0,,0,follow-follow-date-1565416547,movie,The Fast and the Furious: Tokyo Drift,,,,,,,,,,,,,,,
2023-06-10 12:11:48,,13991889,follow,,,2023-06-10 12:11:48,b7c658cc-d561-4129-9b68-ddddc50547c7,follow-b7c658cc-d561-4129-9b68-ddddc50547c7-0,,,follow-follow-date-1686399108,movie,Deadpool & Wolverine,follow-release-date-2024-11-08,2024-11-08 00:00:00,follow-alpha-deadpool-3,,,,,,,,,,,,
2019-08-10 06:05:50,,13991889,follow,,,2019-08-10 06:05:50,b7fa700c-f101-48fd-b890-9e3ebf0ecf00,follow-b7fa700c-f101-48fd-b890-9e3ebf0ecf00-0,,0,follow-follow-date-1565417150,movie,Transformers: Revenge of the Fallen,,,,,,,,,,,,,,,
2024-06-21 18:23:19,,13991889,follow,,,2024-06-21 18:23:19,b8103d90-8c74-4954-baca-1de0c0a35d84,follow-b8103d90-8c74-4954-baca-1de0c0a35d84-0,,,follow-follow-date-1718994199,movie,Avengers: Secret Wars,follow-release-date-2027-05-07,2027-05-07 00:00:00,follow-alpha-avengers-secret-wars,,,,,,,,,,,,
2019-08-10 05:56:39,,13991889,follow,,,2019-08-10 05:56:39,b83c3ced-7395-40dd-87fc-b2390bb0f779,follow-b83c3ced-7395-40dd-87fc-b2390bb0f779-0,,0,follow-follow-date-1565416599,movie,Johnny English Reborn,,,,,,,,,,,,,,,
