created_at,updated_at,tv_show_name,episode_season_number,episode_number,user_id,episode_id,emotion_id
2018-07-29 01:01:58,2018-07-29 01:01:58,Final Space,1,3,13991889,6563912,2
2018-07-29 01:01:50,2018-07-29 01:01:50,Final Space,1,4,13991889,6563913,2
2018-07-29 01:01:51,2018-07-29 01:01:51,Final Space,1,5,13991889,6563915,2
2018-07-29 01:01:53,2018-07-29 01:28:04,Final Space,1,6,13991889,6563916,4
2018-07-29 01:54:22,2018-07-29 01:54:22,Final Space,1,7,13991889,6580217,3
2018-07-29 04:12:42,2018-07-29 04:12:42,Final Space,1,8,13991889,6580218,3
2018-07-29 04:13:00,2018-07-29 04:13:00,Final Space,1,9,13991889,6580219,1
2018-07-29 04:42:04,2018-07-29 04:42:04,Final Space,1,10,13991889,6580220,3
2018-08-07 05:34:53,2018-08-07 05:34:53,3%,2,2,13991889,6608628,1
2018-08-12 05:14:15,2018-08-12 05:14:15,3%,2,3,13991889,6608631,1
2018-08-12 05:14:04,2018-08-12 05:14:05,3%,2,4,13991889,6608637,3
2018-08-12 05:13:49,2018-08-12 05:13:49,3%,2,5,13991889,6608642,3
2018-08-12 05:13:38,2018-08-12 05:13:38,3%,2,6,13991889,6608646,3
2018-08-12 19:37:06,2018-08-12 19:37:06,3%,2,7,13991889,6608649,3
2018-08-14 21:48:19,2018-08-14 21:48:19,3%,2,8,13991889,6608651,1
2018-09-11 20:08:19,2018-09-11 20:08:19,Krypton,1,9,13991889,6614015,3
2018-09-14 19:59:51,2018-09-14 19:59:51,Krypton,1,10,13991889,6614016,3
2018-07-23 00:43:20,2018-07-23 00:43:20,The Flash (2014),4,23,13991889,6622395,3
2018-08-14 21:48:09,2018-08-14 21:48:09,3%,2,9,13991889,6643770,3
2018-08-15 01:40:13,2018-08-15 01:40:13,3%,2,10,13991889,6643773,3
2018-06-10 05:29:43,2018-06-10 05:29:43,Sense8,2,12,13991889,6663646,3
2018-11-25 19:47:00,2018-11-25 19:47:00,Elite,1,8,13991889,6671804,3
2018-08-17 19:47:27,2018-08-17 19:47:27,Disenchantment,1,1,13991889,6699345,2
2018-08-17 20:42:46,2018-08-17 20:42:46,Disenchantment,1,2,13991889,6699487,2
2018-08-18 04:45:15,2018-08-18 04:45:15,Disenchantment,1,3,13991889,6699488,2
2018-08-18 14:40:09,2018-08-18 14:40:09,Disenchantment,1,4,13991889,6699489,2
2018-08-18 14:40:21,2018-08-18 14:40:21,Disenchantment,1,5,13991889,6699490,3
2018-08-18 15:15:28,2018-08-18 15:15:28,Disenchantment,1,6,13991889,6699491,2
2018-08-18 21:39:37,2018-08-18 21:39:37,Disenchantment,1,7,13991889,6699493,2
2018-08-18 21:40:07,2018-08-18 21:40:07,Disenchantment,1,8,13991889,6699494,2
2018-08-19 00:00:44,2018-08-19 00:00:44,Disenchantment,1,9,13991889,6699495,4
2018-08-19 02:24:05,2018-08-19 02:24:05,Disenchantment,1,10,13991889,6699496,3
2018-11-03 02:49:31,2018-11-03 02:49:31,Black Lightning,2,1,13991889,6733442,3
2018-11-03 02:49:21,2018-11-03 02:49:21,Black Lightning,2,2,13991889,6753772,3
2018-11-03 02:49:16,2018-11-03 02:49:16,Black Lightning,2,3,13991889,6753773,1
2018-09-08 21:52:29,2018-09-08 21:52:29,Super Dragon Ball Heroes,1,3,13991889,6764190,1
2018-09-08 20:59:45,2018-09-08 20:59:45,Paradise PD,1,1,13991889,6771499,3
2018-11-15 00:07:22,2018-11-15 00:07:22,DC's Legends of Tomorrow,4,4,13991889,6790744,1
2018-11-07 02:44:12,2018-11-07 02:44:12,The Flash (2014),5,3,13991889,6794675,3
2018-11-07 20:23:17,2018-11-07 20:23:17,The Flash (2014),5,4,13991889,6794677,1
2018-11-15 09:45:57,2018-11-15 09:45:57,The Flash (2014),5,5,13991889,6794679,3
2018-09-08 21:52:18,2018-09-18 21:41:48,Paradise PD,1,2,13991889,6800815,3
2018-09-14 20:00:34,2018-09-14 20:00:37,Paradise PD,1,3,13991889,6800817,3
2018-09-18 21:41:38,2018-09-18 21:41:38,Paradise PD,1,4,13991889,6800818,1
2018-09-18 21:41:34,2018-09-18 21:41:34,Paradise PD,1,5,13991889,6800820,3
2018-09-18 21:41:28,2018-09-18 21:41:28,Paradise PD,1,6,13991889,6800821,3
2018-09-18 21:42:04,2018-09-18 21:42:04,Paradise PD,1,7,13991889,6800823,1
2018-09-26 22:32:16,2018-09-26 22:32:16,Paradise PD,1,8,13991889,6800825,1
2018-09-26 22:32:07,2018-09-26 22:32:07,Paradise PD,1,9,13991889,6800828,3
2018-09-26 22:31:57,2018-09-26 22:31:57,Paradise PD,1,10,13991889,6800831,3
2018-12-11 04:05:25,2018-12-11 04:05:27,The Flash (2014),5,9,13991889,6881113,6
2018-12-05 19:43:25,2018-12-05 19:43:25,The Flash (2014),5,8,13991889,6885898,3
2019-03-21 23:13:24,2019-03-21 23:13:24,The Flash (2014),5,17,13991889,7085504,3
2019-05-11 03:46:07,2019-05-11 03:46:07,The Flash (2014),5,21,13991889,7145066,3
2019-05-15 17:05:14,2019-05-15 17:05:14,The Flash (2014),5,22,13991889,7159480,3
2021-01-24 15:18:25,2021-01-24 15:18:25,Dr. STONE,2,2,13991889,8118080,1
