user_id,name,value,created_at,updated_at,id
13991889,show_ids_in_onboarding,"[71624,72227,73141,73739,73871,74852,75340,75863,76666,78831,79168,79275,79357,79773,80344,80379,80534,81189,81472,81950,82459,94971,121361,152831,176941,205281,250749,251085,253463,257438,257655,259972,260449,260586,264492,264586,264991,268156,268592,269533,269689,270701,270915,271971,273181,273690,275274,277165,279121,281470,282254,282670,282994,289590,293088,293194,295068,295743,295759,295760,295837,305288,305378,308772,309130,311818,311944,312505,314324,315178,317654,319127,319200,320450,320520,320724,321060,322246,322672,322890,323168,323225,326288,326887,327359,327417,328361,328552,328569,328577,328599,328708,328724,330374,331431,332331,332353,332525,332898,334824,336522,336622,336924,337302,338903,340087,340234,341282,341663,341704,342818,342883,342976,343074,346328,347648,347734,348117,348922,349078,349643,349942,350864,350984,351911,353232,353521,353764,354735,354780,356317,356640,357888,359519,359675,360261,360893,360927,361034,361315,361558,364082,364468,365722,368387,71663,73141,75897,75978,148561,153021,250793,295685,338947,305574,345246,329089,343253,361753,361565,368126,285723,281620,355774,361563,369947,355480,73762,328634,365677,349661,161511,359728,311954,318519,350123,331600,78901,78804,349309,263365,367553,360733,360295,284131,250487,296762,95011,266189,290853,247897,295647,267440,321239,269586,270633,81797,311711,311714,328749,305719,75710,294417,305074,270408,76703,259640,269613,253573,281617,321285,289108,248482,194031,329065,302210,302218,72454,110381,331753,192061,278157,289909,287299,83268,348002,262090,305089,74256,262954,327572,339353,359274,346744,352408,348742,313435,347726,266775]",2019-09-17 13:08:58,2019-11-30 03:49:50,291265197
13991889,comments_languages,"[""es"",""en""]",2019-10-04 23:45:57,2019-10-04 23:45:57,295322992
13991889,is_using_dark_mode,1,2019-10-30 20:19:33,2024-04-06 22:28:51,301067320
13991889,prompted_dark_mode_announcement,1,2019-12-22 01:53:10,2019-12-22 01:53:10,312549003
13991889,share_quiz_events,0,2020-07-30 00:19:06,2020-07-30 00:19:06,359957083
13991889,is_tracked_on_appboy,1,2020-10-25 04:05:45,2020-10-25 04:05:45,372838556
13991889,os,"{""platform"":""android"",""version"":""31""}",2021-07-20 01:16:48,2023-03-11 02:02:33,419429785
13991889,notifications_comment_likes,1,2023-03-15 12:26:14,2024-10-26 00:01:08,588740473
13991889,notifications_friend_invites,1,2023-03-15 12:26:14,2024-10-26 00:01:09,588740474
13991889,notifications_badge_unlocks,1,2023-03-15 12:26:14,2024-10-26 00:01:09,588740475
13991889,notifications_news_and_articles,1,2023-03-15 12:26:14,2024-10-26 00:01:12,588740476
13991889,marketing_opt_in,opted-in,2023-12-16 03:53:10,2025-11-19 02:27:35,701782934
